CNPq_ID,Name,Institution,Area,City,State,Country,Lattes_URL,Search_Term,Created_At
K8649609T0,Francesco Maria Ferrari,,,,,,http://lattes.cnpq.br/K8649609T0,formal semantics,2025-05-27 02:41:49
K4131169U6,Francisco Handrick Tomaz da Costa,Universidade de Brasília,,,,,http://lattes.cnpq.br/K4131169U6,static analysis,2025-05-27 02:41:37
K4700415H1,François Monin,University of Savoie (Chambéry),,,,,http://lattes.cnpq.br/K4700415H1,"formal methods, formal verification",2025-05-27 02:41:55
K4452687H0,Frederico Zaniolo Bertagnoli,New York University School of Education,,,,,http://lattes.cnpq.br/K4452687H0,computacao,2025-05-27 02:25:57
K4836091U4,Frode Bjordal,University of California Santa Barbara,,,,,http://lattes.cnpq.br/K4836091U4,"temporal logic, formal semantics",2025-05-27 02:41:35
K4229521E6,Gabriela Maria Lisboa Pinheiro,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4229521E6,linguagens de especificação,2025-05-27 02:41:42
K4343469J3,Geisa Aparecida Ferreira,,,,,,http://lattes.cnpq.br/K4343469J3,linguagens de especificação,2025-05-27 02:41:45
K4775012P7,Gilberto de Mello Nogueira Abdelhay,Universidade do Estado do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4775012P7,linguagens de especificação,2025-05-27 02:41:42
K4220335J2,Girrad Mahmoud Sammour,Fundação Educacional de Barretos,,,,,http://lattes.cnpq.br/K4220335J2,prova de teoremas,2025-05-27 02:41:31
K8672745J3,Guillermo Rodriguez-Navas,,,,,,http://lattes.cnpq.br/K8672745J3,formal verification,2025-05-27 02:41:25
K4484402J8,Haniel Moreira Barbosa,,,,,,http://lattes.cnpq.br/K4484402J8,"program verification, automated reasoning",2025-05-27 02:41:41
K4762347P4,Haydée Werneck Poubel,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4762347P4,linguagens de especificação,2025-05-27 02:41:45
K4483675U0,Henrique Antunes Almeida,Universidade Estadual de Campinas,,,,,http://lattes.cnpq.br/K4483675U0,formal semantics,2025-05-27 02:41:51
K4427137A2,Henrique Oliveira Santos,Universidade de Fortaleza,,,,,http://lattes.cnpq.br/K4427137A2,automated reasoning,2025-05-27 02:41:49
K4278298P9,Herbert Oliveira Rocha,Universidade Federal do Amazonas,,,,,http://lattes.cnpq.br/K4278298P9,program verification,2025-05-27 02:41:41
K4237564Y1,Herbert Rausch Fernandes,Universidade Federal de Minas Gerais,,,,,http://lattes.cnpq.br/K4237564Y1,model checking,2025-05-27 02:41:29
K8145527U6,Hugo Daniel dos Santos Macedo,Universidade do Minho,,,,,http://lattes.cnpq.br/K8145527U6,static analysis,2025-05-27 02:41:38
K4331146Y6,Hyghor Miranda Côrtes,FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS,,,,,http://lattes.cnpq.br/K4331146Y6,temporal logic,2025-05-27 02:41:36
K4780157D2,Iara Augustin,Universidade Federal do Rio Grande do Sul,,,,,http://lattes.cnpq.br/K4780157D2,computacao,2025-05-27 02:25:30
K4758020D1,Ilias Biris,University of Edinburgh,,,,,http://lattes.cnpq.br/K4758020D1,automated reasoning,2025-05-27 02:41:47
K4708513Z5,Ivan José Varzinczak,,,,,,http://lattes.cnpq.br/K4708513Z5,automated reasoning,2025-05-27 02:41:46
K4702804Y9,J Allan Antunes Lyrio,,,,,,http://lattes.cnpq.br/K4702804Y9,static analysis,2025-05-27 02:41:37
K4383040D6,Jacinto Ordem,Pontifícia Universidade Católica de São Paulo,,,,,http://lattes.cnpq.br/K4383040D6,prova de teoremas,2025-05-27 02:41:32
K4221894U6,Jean-Pierre Briot,,,,,,http://lattes.cnpq.br/K4221894U6,program verification,2025-05-27 02:41:42
K4300799A2,Jeffrey Van Baalen,,,,,,http://lattes.cnpq.br/K4300799A2,"program verification, automated reasoning",2025-05-27 02:41:40
K4315850Y6,Jeffrey Van Baalen,,,,,,http://lattes.cnpq.br/K4315850Y6,"program verification, automated reasoning",2025-05-27 02:41:41
K1563640Y9,Jens Otten,University of Potsdam,,,,,http://lattes.cnpq.br/K1563640Y9,automated reasoning,2025-05-27 02:41:46
K4421498T2,Jeronimo Sirotheau de Almeida Eichler,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4421498T2,computacao,2025-05-27 02:25:11
K4731493H8,John Mylopoulos,Princeton University,,,,,http://lattes.cnpq.br/K4731493H8,automated reasoning,2025-05-27 02:41:49
K4784001T3,Jorge Petrúcio Viana,Universidade Federal do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4784001T3,temporal logic,2025-05-27 02:41:35
K4727278H8,Jose Lucas Mourao Rangel Netto,University of Wisconsin - Milwaukee,,,,,http://lattes.cnpq.br/K4727278H8,linguagens de especificação,2025-05-27 02:41:44
K2798417T0,José Alexandre D'Abruzzo Pereira,Universidade de Coimbra,,,,,http://lattes.cnpq.br/K2798417T0,static analysis,2025-05-27 02:41:38
